OBJECTID,X,Y
43292267,-122.292597563,47.6070678570001
43292268,-122.328962557,47.600875441
43292271,-122.338229341,47.701413787
43292275,-122.340190213,47.6279417820001
43292280,-122.296765942,47.602156027
43292282,-122.329822433,47.6144572420001
43292284,-122.351300929,47.6502809890001
43292290,-122.287958834,47.546085964
43292291,-122.292841437,47.7237937610001
43292293,-122.320215991,47.627749237
43292297,-122.325632951,47.6184887810001
43292302,-122.293193745,47.722899066
43292305,-122.335571293,47.521783113
43292309,-122.337779193,47.571202612
43292310,-122.300744895,47.682534323
43292313,-122.308252867,47.5719240830001
43292319,-122.333732525,47.588228476
43292321,-122.301584048,47.634082316
43292323,-122.347373038,47.5246483080001
43292330,-122.299427824,47.616470227
43292331,-122.291899399,47.6974688280001
43292332,-122.319378916,47.6749891910001
43292334,-122.334195453,47.5903121640001
43292342,-122.372088315,47.6294378870001
43292344,-122.344541337,47.692196698
43292345,-122.36048905,47.681793014
43292347,-122.33444502,47.538315024
43292350,-122.381456467,47.5601817620001
43292354,-122.356709221,47.624582973
43292355,-122.30894999,47.5925033330001
43292362,-122.365123526,47.6241457960001
43292363,-122.329058006,47.585073697
43292366,-122.359999945,47.6209531390001
43292372,-122.356714552,47.6239285240001
43292373,-122.324749252,47.605554698
43292375,-122.305031379,47.60616522
43292377,-122.298522458,47.6710685730001
43292385,-122.360958601,47.5715936120001
43292388,-122.337893629,47.616490205
43292389,-122.331395053,47.6185079140001
43292393,-122.375454423,47.686885488
43292398,-122.413281347,47.578355919
43292399,-122.342678361,47.650533523
43292400,-122.274665733,47.527025359
43292403,-122.361091866,47.5379541670001
43292410,-122.323239228,47.547024503
43292412,-122.324749252,47.605554698
43292417,-122.347294314,47.6471724890001
43292418,-122.297876402,47.7337966760001
43292427,-122.308946829,47.661259294
43292428,-122.372562261,47.5646611560001
43292429,-122.28173664,47.537964388
43292431,-122.331342547,47.60773005
43292439,-122.38202126,47.528049643
43292440,-122.313401663,47.58199984
43292447,-122.323702648,47.6094456550001
43292452,-122.346327498,47.6795922220001
43292454,-122.339614349,47.615160158
43292456,-122.331965706,47.602536672
43292467,-122.250998526,47.5030675350001
43292468,-122.350003178,47.6982751790001
43292471,-122.302935095,47.700721506
43292477,-122.318037785,47.683117763
43292479,-122.335851076,47.5512076260001
43292481,-122.275322754,47.5233118630001
43292487,-122.316779122,47.610978844
43292489,-122.358053118,47.7037636910001
43292490,-122.318337594,47.6021941240001
43292494,-122.34495015,47.6806839280001
43292495,-122.388701156,47.6840497310001
43292499,-122.288120805,47.5303442380001
43292504,-122.375442093,47.653941074
43292506,-122.332884017,47.598747657
43292508,-122.344673428,47.64157906
43292514,-122.316844987,47.6146824830001
43292516,-122.333629129,47.620826472
43292519,-122.359835267,47.5210290000001
43292522,-122.332132653,47.534147768
43292528,-122.386213921,47.5756234360001
43292530,-122.332161065,47.6044286220001
43292531,-122.285041862,47.5578486250001
43292532,-122.380856531,47.6655920680001
43292533,-122.3432623,47.611452758
43292535,-122.276403255,47.523312339
43292540,-122.279385443,47.6621929840001
43292541,-122.379439743,47.5210885560001
43292543,,
43292544,-122.348876781,47.624564331
43292548,-122.376796177,47.6877998780001
43292549,-122.257742519,47.509036085
43292557,-122.355032448,47.533680428
43292558,-122.3499377,47.6560341220001
43292560,-122.377947479,47.534856459
43292568,-122.327680649,47.5966567450001
43292570,-122.306970811,47.608018945
43292580,-122.291174058,47.7138135170001
43292582,-122.376353785,47.5492326470001
43292587,-122.354802326,47.6185995540001
43292588,-122.354022508,47.6969294400001
43292597,-122.28733634,47.549596679
43292599,-122.288011035,47.563456655
43292604,-122.292141307,47.5360870420001
43292605,-122.286982168,47.6757846940001
43292608,-122.308753616,47.573569584
43292614,-122.30896442,47.600419835
43292615,-122.273119298,47.5429230670001
43292617,-122.326860115,47.62807522
43292619,-122.3346951,47.5398931560001
43292625,-122.335586467,47.6039822380001
43292627,-122.266685404,47.500016305
43292631,-122.317388291,47.677647875
43292635,-122.402600876,47.670429465
43292639,-122.317966226,47.637819011
43292640,-122.354035334,47.5173538660001
43292647,-122.356510806,47.5173613010001
43292650,-122.269981186,47.535302276
43292656,-122.265096033,47.5194240810001
43292657,-122.351690847,47.5585916480001
43292658,-122.271283177,47.5291107510001
43292667,-122.317413612,47.6640275440001
43292668,-122.350035818,47.613699092
43292672,-122.322016627,47.6225619860001
43292680,-122.333993044,47.708663066
43292683,-122.329123595,47.6086580950001
43292687,-122.317227353,47.597918582
43292694,-122.356045044,47.652599002
43292696,-122.346588118,47.7232149800001
43292698,-122.333353807,47.61160635
43292704,-122.317852209,47.7085609870001
43292705,-122.325587066,47.5264732640001
43292707,-122.320799811,47.734027757
43292709,-122.317451143,47.662198043
43292714,-122.298641822,47.600104451
43292715,-122.376806121,47.690609108
43292718,-122.329551385,47.55339933
43292723,-122.347207127,47.6905707880001
43292731,-122.31689132,47.6176005990001
43292732,-122.310282954,47.596647707
43292735,-122.329454288,47.5715776440001
43292738,-122.375282181,47.5282846540001
43292742,-122.340130764,47.517272518
43292747,-122.350824336,47.6130894940001
43292749,-122.318105242,47.6043578170001
43292757,-122.30233884,47.5464261010001
